question_clean,qtype,focus_area,department
what are the symptoms of verloove vanhorick brubakk syndrome,symptoms,Verloove Vanhorick Brubakk syndrome,Genetics & Rare Diseases
what is limited cutaneous systemic sclerosis,definition,Limited cutaneous systemic sclerosis,General Medicine & Public Health
what are the symptoms of limited cutaneous systemic sclerosis,symptoms,Limited cutaneous systemic sclerosis,General Medicine & Public Health
what are the treatments for limited cutaneous systemic sclerosis,treatment,Limited cutaneous systemic sclerosis,General Medicine & Public Health
what is achondrogenesis type 1a,definition,Achondrogenesis type 1A,General Medicine & Public Health
what are the symptoms of achondrogenesis type 1a,symptoms,Achondrogenesis type 1A,General Medicine & Public Health
what is spinocerebellar ataxia autosomal recessive 7,definition,Spinocerebellar ataxia autosomal recessive 7,Neurology
what are the symptoms of spinocerebellar ataxia autosomal recessive 7,symptoms,Spinocerebellar ataxia autosomal recessive 7,Neurology
what are the symptoms of upington disease,symptoms,Upington disease,General Medicine & Public Health
what are the symptoms of methylmalonic acidemia with homocystinuria type cblj,symptoms,"Methylmalonic acidemia with homocystinuria, type cblJ",General Medicine & Public Health
what are the symptoms of syndactylypolydactylyearlobe syndrome,symptoms,Syndactyly-polydactyly-earlobe syndrome,Orthopedics & Rheumatology
what is schistosomiasis,definition,Schistosomiasis,Infectious Disease
what are the symptoms of schistosomiasis,symptoms,Schistosomiasis,Infectious Disease
how to diagnose schistosomiasis,diagnosis,Schistosomiasis,Infectious Disease
what are the symptoms of severe congenital neutropenia autosomal recessive 3,symptoms,Severe congenital neutropenia autosomal recessive 3,Hematology
what is prune belly syndrome,definition,Prune belly syndrome,Genetics & Rare Diseases
what are the symptoms of prune belly syndrome,symptoms,Prune belly syndrome,Genetics & Rare Diseases
what causes prune belly syndrome,causes,Prune belly syndrome,Genetics & Rare Diseases
what are the treatments for prune belly syndrome,treatment,Prune belly syndrome,Genetics & Rare Diseases
what are the symptoms of leber congenital amaurosis 10,symptoms,Leber congenital amaurosis 10,Ophthalmology
what are the symptoms of spondyloepimetaphyseal dysplasia matrilin3 related,symptoms,Spondyloepimetaphyseal dysplasia Matrilin-3 related,Orthopedics & Rheumatology
what are the symptoms of alopecia macular degeneration growth retardation,symptoms,Alopecia macular degeneration growth retardation,Ophthalmology
what is meningioma,definition,Meningioma,General Medicine & Public Health
what are the treatments for meningioma,treatment,Meningioma,General Medicine & Public Health
what is progressive hemifacial atrophy,definition,Progressive hemifacial atrophy,General Medicine & Public Health
what are the symptoms of progressive hemifacial atrophy,symptoms,Progressive hemifacial atrophy,General Medicine & Public Health
what are the treatments for progressive hemifacial atrophy,treatment,Progressive hemifacial atrophy,General Medicine & Public Health
what are the symptoms of hawkinsinuria,symptoms,Hawkinsinuria,General Medicine & Public Health
what are the symptoms of spinocerebellar ataxia 14,symptoms,Spinocerebellar ataxia 14,Neurology
what are the symptoms of spastic paraplegia 17,symptoms,Spastic paraplegia 17,General Medicine & Public Health
what are the symptoms of peho syndrome,symptoms,PEHO syndrome,Genetics & Rare Diseases
what are the symptoms of pelvic dysplasia arthrogryposis of lower limbs,symptoms,Pelvic dysplasia arthrogryposis of lower limbs,Orthopedics & Rheumatology
what is oral leukoplakia,definition,Oral leukoplakia,General Medicine & Public Health
what is oral lichen planus,definition,Oral lichen planus,General Medicine & Public Health
what are the treatments for oral lichen planus,treatment,Oral lichen planus,General Medicine & Public Health
what is ollier disease,definition,Ollier disease,General Medicine & Public Health
what are the symptoms of ollier disease,symptoms,Ollier disease,General Medicine & Public Health
what causes ollier disease,causes,Ollier disease,General Medicine & Public Health
what are the treatments for ollier disease,treatment,Ollier disease,General Medicine & Public Health
what are the symptoms of bare lymphocyte syndrome,symptoms,Bare lymphocyte syndrome,Genetics & Rare Diseases
what is fragile x syndrome,definition,Fragile X syndrome,Genetics & Rare Diseases
what are the symptoms of fragile x syndrome,symptoms,Fragile X syndrome,Genetics & Rare Diseases
what causes fragile x syndrome,causes,Fragile X syndrome,Genetics & Rare Diseases
is fragile x syndrome inherited,genetic,Fragile X syndrome,Genetics & Rare Diseases
how to diagnose fragile x syndrome,diagnosis,Fragile X syndrome,Genetics & Rare Diseases
what are the treatments for fragile x syndrome,treatment,Fragile X syndrome,Genetics & Rare Diseases
what are the symptoms of otodental dysplasia,symptoms,Otodental dysplasia,ENT
what is crigler najjar syndrome type 1,definition,"Crigler Najjar syndrome, type 1",Genetics & Rare Diseases
what are the symptoms of crigler najjar syndrome type 1,symptoms,"Crigler Najjar syndrome, type 1",Genetics & Rare Diseases
what are the symptoms of xlinked charcotmarietooth disease type 3,symptoms,X-linked Charcot-Marie-Tooth disease type 3,ENT
what is 2methylbutyrylcoa dehydrogenase deficiency,definition,2-methylbutyryl-CoA dehydrogenase deficiency,General Medicine & Public Health
what are the symptoms of 2methylbutyrylcoa dehydrogenase deficiency,symptoms,2-methylbutyryl-CoA dehydrogenase deficiency,General Medicine & Public Health
what are the symptoms of exstrophy of the bladder,symptoms,Exstrophy of the bladder,Nephrology & Urology
what is long qt syndrome,definition,Long QT syndrome,Cardiology
what are the symptoms of long qt syndrome,symptoms,Long QT syndrome,Cardiology
what causes long qt syndrome,causes,Long QT syndrome,Cardiology
how to diagnose long qt syndrome,diagnosis,Long QT syndrome,Cardiology
what is central serous chorioretinopathy,definition,Central serous chorioretinopathy,Ophthalmology
what is fanconi renotubular syndrome,definition,Fanconi renotubular syndrome,Genetics & Rare Diseases
what are the symptoms of fanconi renotubular syndrome,symptoms,Fanconi renotubular syndrome,Genetics & Rare Diseases
what are the symptoms of 19p1312 microdeletion syndrome,symptoms,19p13.12 microdeletion syndrome,Genetics & Rare Diseases
what is pretibial epidermolysis bullosa,definition,Pretibial epidermolysis bullosa,Dermatology
what are the symptoms of pretibial epidermolysis bullosa,symptoms,Pretibial epidermolysis bullosa,Dermatology
what are the symptoms of dihydropyrimidinase deficiency,symptoms,Dihydropyrimidinase deficiency,General Medicine & Public Health
what are the symptoms of radioulnar synostosis type 1,symptoms,Radio-ulnar synostosis type 1,General Medicine & Public Health
what is hemifacial microsomia,definition,Hemifacial microsomia,General Medicine & Public Health
what are the symptoms of hemifacial microsomia,symptoms,Hemifacial microsomia,General Medicine & Public Health
what causes hemifacial microsomia,causes,Hemifacial microsomia,General Medicine & Public Health
is hemifacial microsomia inherited,genetic,Hemifacial microsomia,General Medicine & Public Health
what are the treatments for hemifacial microsomia,treatment,Hemifacial microsomia,General Medicine & Public Health
what are the symptoms of spondyloepimetaphyseal dysplasia xlinked with mental deterioration,symptoms,Spondyloepimetaphyseal dysplasia x-linked with mental deterioration,Orthopedics & Rheumatology
what are the symptoms of nystagmus congenital motor autosomal recessive,symptoms,"Nystagmus, congenital motor, autosomal recessive",Genetics & Rare Diseases
what is nacetylglutamate synthetase deficiency,definition,N-acetylglutamate synthetase deficiency,General Medicine & Public Health
what are the symptoms of nacetylglutamate synthetase deficiency,symptoms,N-acetylglutamate synthetase deficiency,General Medicine & Public Health
what are the symptoms of hemifacial hyperplasia strabismus,symptoms,Hemifacial hyperplasia strabismus,Ophthalmology
what are the symptoms of hypochromic microcytic anemia with iron overload,symptoms,Hypochromic microcytic anemia with iron overload,Hematology
what is cockayne syndrome type iii,definition,Cockayne syndrome type III,Genetics & Rare Diseases
what are the symptoms of cockayne syndrome type iii,symptoms,Cockayne syndrome type III,Genetics & Rare Diseases
what is nailpatella syndrome,definition,Nail-patella syndrome,Genetics & Rare Diseases
what are the symptoms of nailpatella syndrome,symptoms,Nail-patella syndrome,Genetics & Rare Diseases
what is 21hydroxylase deficiency,definition,21-hydroxylase deficiency,General Medicine & Public Health
what are the symptoms of 21hydroxylase deficiency,symptoms,21-hydroxylase deficiency,General Medicine & Public Health
what causes 21hydroxylase deficiency,causes,21-hydroxylase deficiency,General Medicine & Public Health
is 21hydroxylase deficiency inherited,genetic,21-hydroxylase deficiency,General Medicine & Public Health
how to diagnose 21hydroxylase deficiency,diagnosis,21-hydroxylase deficiency,General Medicine & Public Health
what are the treatments for 21hydroxylase deficiency,treatment,21-hydroxylase deficiency,General Medicine & Public Health
what is urachal cancer,definition,Urachal cancer,Oncology
what are the treatments for urachal cancer,treatment,Urachal cancer,Oncology
what is 22q112 duplication syndrome,definition,22q11.2 duplication syndrome,Genetics & Rare Diseases
what are the symptoms of 22q112 duplication syndrome,symptoms,22q11.2 duplication syndrome,Genetics & Rare Diseases
what are the symptoms of treacher collins syndrome 3,symptoms,Treacher Collins syndrome 3,Genetics & Rare Diseases
what is carbon baby syndrome,definition,Carbon baby syndrome,Genetics & Rare Diseases
what are the symptoms of corpus callosum agenesis double urinary collecting,symptoms,Corpus callosum agenesis double urinary collecting,Nephrology & Urology
what is microgastria limb reduction defect,definition,Microgastria limb reduction defect,General Medicine & Public Health
what are the symptoms of microgastria limb reduction defect,symptoms,Microgastria limb reduction defect,General Medicine & Public Health
what are the symptoms of deafness autosomal dominant nonsyndromic sensorineural 22,symptoms,"Deafness, autosomal dominant nonsyndromic sensorineural 22",Neurology
what is arginase deficiency,definition,Arginase deficiency,General Medicine & Public Health
what are the symptoms of arginase deficiency,symptoms,Arginase deficiency,General Medicine & Public Health
what are the treatments for arginase deficiency,treatment,Arginase deficiency,General Medicine & Public Health
what are the symptoms of his bundle tachycardia,symptoms,His bundle tachycardia,General Medicine & Public Health
what are the symptoms of al gazali sabrinathan nair syndrome,symptoms,Al Gazali Sabrinathan Nair syndrome,Genetics & Rare Diseases
what are the symptoms of schneckenbecken dysplasia,symptoms,Schneckenbecken dysplasia,Genetics & Rare Diseases
what are the symptoms of acrocephalopolydactylous dysplasia,symptoms,Acrocephalopolydactylous dysplasia,Genetics & Rare Diseases
what is hydrops fetalis,definition,Hydrops fetalis,Gynecology & Obstetrics
what are the symptoms of hydrops fetalis,symptoms,Hydrops fetalis,Gynecology & Obstetrics
what is cushing disease,definition,Cushing disease,Endocrinology & Metabolism
what are the symptoms of cushing disease,symptoms,Cushing disease,Endocrinology & Metabolism
what are the symptoms of jensen syndrome,symptoms,Jensen syndrome,Genetics & Rare Diseases
what are the symptoms of nestorguillermo progeria syndrome,symptoms,Nestor-guillermo progeria syndrome,Dermatology
what is familial mediterranean fever,definition,Familial Mediterranean fever,Genetics & Rare Diseases
what are the symptoms of familial mediterranean fever,symptoms,Familial Mediterranean fever,Genetics & Rare Diseases
is familial mediterranean fever inherited,genetic,Familial Mediterranean fever,Genetics & Rare Diseases
how to diagnose familial mediterranean fever,diagnosis,Familial Mediterranean fever,Genetics & Rare Diseases
what are the treatments for familial mediterranean fever,treatment,Familial Mediterranean fever,Genetics & Rare Diseases
what are the symptoms of joubert syndrome 2,symptoms,Joubert syndrome 2,Genetics & Rare Diseases
what are the symptoms of deafness nephritis anorectal malformation,symptoms,Deafness nephritis anorectal malformation,Neurology
what are the symptoms of symmetrical thalamic calcifications,symptoms,Symmetrical thalamic calcifications,General Medicine & Public Health
