question_clean,qtype,source,focus_area
what causes osteogenesis imperfecta,causes,GARD,Osteogenesis imperfecta
is osteogenesis imperfecta inherited,genetic,GARD,Osteogenesis imperfecta
how to diagnose osteogenesis imperfecta,diagnosis,GARD,Osteogenesis imperfecta
what is sclerosing mucoepidermoid carcinoma with eosinophilia,definition,GARD,Sclerosing mucoepidermoid carcinoma with eosinophilia
what is brownsequard syndrome,definition,GARD,Brown-Sequard syndrome
what are the treatments for brownsequard syndrome,treatment,GARD,Brown-Sequard syndrome
what is 15q133 microduplication syndrome,definition,GARD,15q13.3 microduplication syndrome
what is carpenter syndrome,definition,GARD,Carpenter syndrome
what are the symptoms of carpenter syndrome,symptoms,GARD,Carpenter syndrome
what are the symptoms of retinitis pigmentosa deafness mental retardation and hypogonadism,symptoms,GARD,"Retinitis pigmentosa, deafness, mental retardation, and hypogonadism"
what is neurogenic diabetes insipidus,definition,GARD,Neurogenic diabetes insipidus
what are the symptoms of neurogenic diabetes insipidus,symptoms,GARD,Neurogenic diabetes insipidus
what are the symptoms of aplasia cutis congenita intestinal lymphangiectasia,symptoms,GARD,Aplasia cutis congenita intestinal lymphangiectasia
what are the symptoms of amyotonia congenita,symptoms,GARD,Amyotonia congenita
what are the symptoms of angel shaped phalangoepiphyseal dysplasia,symptoms,GARD,Angel shaped phalangoepiphyseal dysplasia
what are the symptoms of zlotogora syndrome,symptoms,GARD,Zlotogora syndrome
what are the symptoms of alopecia epilepsy pyorrhea mental subnormality,symptoms,GARD,"Alopecia, epilepsy, pyorrhea, mental subnormality"
what are the symptoms of keratoderma palmoplantar deafness,symptoms,GARD,Keratoderma palmoplantar deafness
what is silicosis,definition,GARD,Silicosis
what are the symptoms of silicosis,symptoms,GARD,Silicosis
what causes silicosis,causes,GARD,Silicosis
what is chromosome 16p133 deletion syndrome,definition,GARD,Chromosome 16p13.3 deletion syndrome
what are the symptoms of chromosome 16p133 deletion syndrome,symptoms,GARD,Chromosome 16p13.3 deletion syndrome
what is dyggvemelchiorclausen syndrome,definition,GARD,Dyggve-Melchior-Clausen syndrome
what are the symptoms of dyggvemelchiorclausen syndrome,symptoms,GARD,Dyggve-Melchior-Clausen syndrome
how to diagnose dyggvemelchiorclausen syndrome,diagnosis,GARD,Dyggve-Melchior-Clausen syndrome
what are the treatments for dyggvemelchiorclausen syndrome,treatment,GARD,Dyggve-Melchior-Clausen syndrome
what is meesmann corneal dystrophy,definition,GARD,Meesmann corneal dystrophy
what are the symptoms of meesmann corneal dystrophy,symptoms,GARD,Meesmann corneal dystrophy
what causes meesmann corneal dystrophy,causes,GARD,Meesmann corneal dystrophy
what are the treatments for meesmann corneal dystrophy,treatment,GARD,Meesmann corneal dystrophy
what is congenital pulmonary lymphangiectasia,definition,GARD,Congenital pulmonary lymphangiectasia
what are the symptoms of congenital pulmonary lymphangiectasia,symptoms,GARD,Congenital pulmonary lymphangiectasia
what are the symptoms of lethal congenital contracture syndrome 2,symptoms,GARD,Lethal congenital contracture syndrome 2
what are the symptoms of icf syndrome,symptoms,GARD,ICF syndrome
what is schindler disease type 1,definition,GARD,Schindler disease type 1
what are the symptoms of schindler disease type 1,symptoms,GARD,Schindler disease type 1
what causes schindler disease type 1,causes,GARD,Schindler disease type 1
is schindler disease type 1 inherited,genetic,GARD,Schindler disease type 1
what is diffuse gastric cancer,definition,GARD,Diffuse gastric cancer
what are the symptoms of diffuse gastric cancer,symptoms,GARD,Diffuse gastric cancer
what causes diffuse gastric cancer,causes,GARD,Diffuse gastric cancer
is diffuse gastric cancer inherited,genetic,GARD,Diffuse gastric cancer
what are the symptoms of short ribpolydactyly syndrome type 3,symptoms,GARD,Short rib-polydactyly syndrome type 3
what are the symptoms of image syndrome,symptoms,GARD,IMAGe syndrome
what are the symptoms of limbgirdle muscular dystrophy type 1a,symptoms,GARD,Limb-girdle muscular dystrophy type 1A
what are the symptoms of xlinked thrombocytopenia,symptoms,GARD,X-linked thrombocytopenia
what are the symptoms of crisponi syndrome,symptoms,GARD,Crisponi syndrome
what is tarp syndrome,definition,GARD,TARP syndrome
what are the symptoms of tarp syndrome,symptoms,GARD,TARP syndrome
what causes tarp syndrome,causes,GARD,TARP syndrome
is tarp syndrome inherited,genetic,GARD,TARP syndrome
how to diagnose tarp syndrome,diagnosis,GARD,TARP syndrome
what is milroy disease,definition,GARD,Milroy disease
what are the symptoms of milroy disease,symptoms,GARD,Milroy disease
is milroy disease inherited,genetic,GARD,Milroy disease
how to diagnose milroy disease,diagnosis,GARD,Milroy disease
what are the treatments for milroy disease,treatment,GARD,Milroy disease
what are the symptoms of anonychiaonychodystrophy with hypoplasia or absence of distal phalanges,symptoms,GARD,Anonychia-onychodystrophy with hypoplasia or absence of distal phalanges
what is facioscapulohumeral muscular dystrophy,definition,GARD,Facioscapulohumeral muscular dystrophy
what are the symptoms of facioscapulohumeral muscular dystrophy,symptoms,GARD,Facioscapulohumeral muscular dystrophy
what is eec syndrome,definition,GARD,EEC syndrome
what are the symptoms of eec syndrome,symptoms,GARD,EEC syndrome
what causes eec syndrome,causes,GARD,EEC syndrome
is eec syndrome inherited,genetic,GARD,EEC syndrome
how to diagnose eec syndrome,diagnosis,GARD,EEC syndrome
what are the symptoms of sensory ataxic neuropathy dysarthria and ophthalmoparesis,symptoms,GARD,"Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis"
what is nonclassic congenital adrenal hyperplasia due to 21hydroxylase deficiency,definition,GARD,Non-classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
what are the symptoms of nonclassic congenital adrenal hyperplasia due to 21hydroxylase deficiency,symptoms,GARD,Non-classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
what causes nonclassic congenital adrenal hyperplasia due to 21hydroxylase deficiency,causes,GARD,Non-classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
is nonclassic congenital adrenal hyperplasia due to 21hydroxylase deficiency inherited,genetic,GARD,Non-classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
how to diagnose nonclassic congenital adrenal hyperplasia due to 21hydroxylase deficiency,diagnosis,GARD,Non-classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
what are the treatments for nonclassic congenital adrenal hyperplasia due to 21hydroxylase deficiency,treatment,GARD,Non-classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
what are the symptoms of cervical hypertrichosis peripheral neuropathy,symptoms,GARD,Cervical hypertrichosis peripheral neuropathy
what is cryptogenic organizing pneumonia,definition,GARD,Cryptogenic organizing pneumonia
what are the symptoms of cryptogenic organizing pneumonia,symptoms,GARD,Cryptogenic organizing pneumonia
what causes cryptogenic organizing pneumonia,causes,GARD,Cryptogenic organizing pneumonia
is cryptogenic organizing pneumonia inherited,genetic,GARD,Cryptogenic organizing pneumonia
how to diagnose cryptogenic organizing pneumonia,diagnosis,GARD,Cryptogenic organizing pneumonia
what are the treatments for cryptogenic organizing pneumonia,treatment,GARD,Cryptogenic organizing pneumonia
what are the symptoms of spastic paraplegia 5b,symptoms,GARD,Spastic paraplegia 5B
what are the symptoms of revesz syndrome,symptoms,GARD,Revesz syndrome
what is vici syndrome,definition,GARD,Vici syndrome
what are the symptoms of vici syndrome,symptoms,GARD,Vici syndrome
what are the symptoms of star syndrome,symptoms,GARD,STAR syndrome
what is chronic fatigue syndrome,definition,GARD,Chronic fatigue syndrome
how to diagnose chronic fatigue syndrome,diagnosis,GARD,Chronic fatigue syndrome
what are the treatments for chronic fatigue syndrome,treatment,GARD,Chronic fatigue syndrome
what are the symptoms of porokeratosis disseminated superficial actinic 2,symptoms,GARD,"Porokeratosis, disseminated superficial actinic 2"
what are the symptoms of thyrotoxic periodic paralysis,symptoms,GARD,Thyrotoxic periodic paralysis
what is methylmalonic acidemia with homocystinuria type cblc,definition,GARD,"Methylmalonic acidemia with homocystinuria, type cblC"
what are the symptoms of methylmalonic acidemia with homocystinuria type cblc,symptoms,GARD,"Methylmalonic acidemia with homocystinuria, type cblC"
what are the symptoms of dwarfism stiff joint ocular abnormalities,symptoms,GARD,Dwarfism stiff joint ocular abnormalities
what is congenitally corrected transposition of the great arteries,definition,GARD,Congenitally corrected transposition of the great arteries
what causes congenitally corrected transposition of the great arteries,causes,GARD,Congenitally corrected transposition of the great arteries
what are the symptoms of cerebral sarcoma,symptoms,GARD,Cerebral sarcoma
what is systemic capillary leak syndrome,definition,GARD,Systemic capillary leak syndrome
what are the symptoms of systemic capillary leak syndrome,symptoms,GARD,Systemic capillary leak syndrome
what are the treatments for systemic capillary leak syndrome,treatment,GARD,Systemic capillary leak syndrome
what is short syndrome,definition,GARD,SHORT syndrome
what are the symptoms of short syndrome,symptoms,GARD,SHORT syndrome
is short syndrome inherited,genetic,GARD,SHORT syndrome
how to diagnose short syndrome,diagnosis,GARD,SHORT syndrome
what is ehlersdanlos syndrome progeroid type,definition,GARD,"Ehlers-Danlos syndrome, progeroid type"
what are the symptoms of ehlersdanlos syndrome progeroid type,symptoms,GARD,"Ehlers-Danlos syndrome, progeroid type"
what causes ehlersdanlos syndrome progeroid type,causes,GARD,"Ehlers-Danlos syndrome, progeroid type"
is ehlersdanlos syndrome progeroid type inherited,genetic,GARD,"Ehlers-Danlos syndrome, progeroid type"
what are the treatments for ehlersdanlos syndrome progeroid type,treatment,GARD,"Ehlers-Danlos syndrome, progeroid type"
what is exogenous ochronosis,definition,GARD,Exogenous ochronosis
what is chandlers syndrome,definition,GARD,Chandler's syndrome
what causes chandlers syndrome,causes,GARD,Chandler's syndrome
is chandlers syndrome inherited,genetic,GARD,Chandler's syndrome
what are the treatments for chandlers syndrome,treatment,GARD,Chandler's syndrome
what are the symptoms of erythroderma lethal congenital,symptoms,GARD,Erythroderma lethal congenital
what are the symptoms of transient erythroblastopenia of childhood,symptoms,GARD,Transient erythroblastopenia of childhood
what is nephrocalcinosis,definition,GARD,Nephrocalcinosis
what causes nephrocalcinosis,causes,GARD,Nephrocalcinosis
is nephrocalcinosis inherited,genetic,GARD,Nephrocalcinosis
what are the treatments for nephrocalcinosis,treatment,GARD,Nephrocalcinosis
what are the symptoms of impairment of oral perception,symptoms,GARD,Impairment of oral perception
what are the symptoms of amelogenesis imperfecta hypoplastichypomaturation xlinked 2,symptoms,GARD,"Amelogenesis imperfecta, hypoplastic/hypomaturation, X-linked 2"
what is temporomandibular ankylosis,definition,GARD,Temporomandibular ankylosis
what is scurvy,definition,GARD,Scurvy
what are the symptoms of scurvy,symptoms,GARD,Scurvy
what is permanent neonatal diabetes mellitus,definition,GARD,Permanent neonatal diabetes mellitus
what are the symptoms of permanent neonatal diabetes mellitus,symptoms,GARD,Permanent neonatal diabetes mellitus
what is mitochondrial encephalomyopathy lactic acidosis and strokelike episodes,definition,GARD,Mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes
what are the symptoms of mitochondrial encephalomyopathy lactic acidosis and strokelike episodes,symptoms,GARD,Mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes
is mitochondrial encephalomyopathy lactic acidosis and strokelike episodes inherited,genetic,GARD,Mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes
how to diagnose mitochondrial encephalomyopathy lactic acidosis and strokelike episodes,diagnosis,GARD,Mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes
what are the symptoms of dyschromatosis universalis hereditaria,symptoms,GARD,Dyschromatosis universalis hereditaria
what is craniopharyngioma,definition,GARD,Craniopharyngioma
what are the symptoms of craniopharyngioma,symptoms,GARD,Craniopharyngioma
what causes craniopharyngioma,causes,GARD,Craniopharyngioma
what are the treatments for craniopharyngioma,treatment,GARD,Craniopharyngioma
what are the symptoms of macular dystrophy corneal type 1,symptoms,GARD,"Macular dystrophy, corneal type 1"
what is poland syndrome,definition,GARD,Poland syndrome
what are the symptoms of poland syndrome,symptoms,GARD,Poland syndrome
what causes poland syndrome,causes,GARD,Poland syndrome
is poland syndrome inherited,genetic,GARD,Poland syndrome
how to diagnose poland syndrome,diagnosis,GARD,Poland syndrome
what are the treatments for poland syndrome,treatment,GARD,Poland syndrome
what are the symptoms of familial ventricular tachycardia,symptoms,GARD,Familial ventricular tachycardia
what is neutral lipid storage disease with myopathy,definition,GARD,Neutral lipid storage disease with myopathy
what are the symptoms of neutral lipid storage disease with myopathy,symptoms,GARD,Neutral lipid storage disease with myopathy
what causes neutral lipid storage disease with myopathy,causes,GARD,Neutral lipid storage disease with myopathy
is neutral lipid storage disease with myopathy inherited,genetic,GARD,Neutral lipid storage disease with myopathy
what are the treatments for neutral lipid storage disease with myopathy,treatment,GARD,Neutral lipid storage disease with myopathy
